"Local.Date.and.Time","participant","trial","Emo","Response","onset_t","react_t","csum_t","t_s","t_m"
"17/10/2024 11:59:10","M61000",0,"frustrated",10,2565,4234.49999999702,4234.49999999702,0,0
"17/10/2024 11:59:13","M61000",0,"happy",31,1748.79999999999,2914.59999999999,7149.09999999701,3,0.05
"17/10/2024 11:59:15","M61000",0,"bored",70,1698.90000000001,2938.3,10087.399999997,5,0.0833333333333333
"17/10/2024 11:59:52","M61000",1,"bored",72,4180.8,5349.59999999702,15436.999999994,42,0.7
"17/10/2024 11:59:56","M61000",1,"frustrated",4,2581.8,3844.79999998808,19281.7999999821,46,0.766666666666667
"17/10/2024 12:00:08","M61000",1,"happy",34,4780.5,12642.2,31923.9999999821,58,0.966666666666667
"17/10/2024 12:00:45","M61000",2,"bored",76,4280.5,5900.79999998808,37824.7999999702,95,1.58333333333333
"17/10/2024 12:00:51","M61000",2,"happy",35,2947.79999999999,6402.29999999999,44227.0999999702,101,1.68333333333333
"17/10/2024 12:00:58","M61000",2,"frustrated",7,4980.30000000002,6450.29999999405,50677.3999999642,108,1.8
"17/10/2024 12:01:53","M61000",3,"frustrated",11,23535,24367.6,75044.9999999642,163,2.71666666666667
"17/10/2024 12:02:00","M61000",3,"bored",73,2565,4161,79205.9999999642,170,2.83333333333333
"17/10/2024 12:02:35","M61000",3,"happy",21,32729.1,34411.1,113617.099999964,205,3.41666666666667
"17/10/2024 12:03:20","M61000",4,"frustrated",14,2331.90000000002,3673.69999998808,117290.799999952,250,4.16666666666667
"17/10/2024 12:03:24","M61000",4,"bored",81,2931.40000000002,4520.69999998808,121811.49999994,254,4.23333333333333
"17/10/2024 12:03:27","M61000",4,"happy",20,1898.79999999999,3130.70000000001,124942.19999994,257,4.28333333333333
"17/10/2024 12:04:06","M61000",5,"frustrated",22,6129.40000000002,7362.20000000001,132304.39999994,296,4.93333333333333
"17/10/2024 12:04:09","M61000",5,"bored",95,2131.79999999999,3475.19999998808,135779.599999928,299,4.98333333333333
"17/10/2024 12:04:13","M61000",5,"happy",12,2448.5,3581.09999999998,139360.699999928,303,5.05
"17/10/2024 12:04:57","M61000",6,"frustrated",17,3731.09999999998,13436.6999999881,152797.399999917,347,5.78333333333333
"17/10/2024 12:05:04","M61000",6,"happy",9,2964.79999999999,4035.19999999105,156832.599999908,354,5.9
"17/10/2024 12:05:10","M61000",6,"bored",98,2914.89999999997,6188.59999999998,163021.199999908,360,6
"17/10/2024 12:05:46","M61000",7,"happy",7,4430.59999999998,5626.59999999404,168647.799999902,396,6.6
"17/10/2024 12:05:49","M61000",7,"frustrated",22,1465.70000000001,3085.89999999403,171733.699999896,399,6.65
"17/10/2024 12:05:52","M61000",7,"bored",99,1632.40000000002,2848.29999999999,174581.999999896,402,6.7
"17/10/2024 12:07:03","M61000",8,"happy",7,38308.9999999999,39675.2,214257.199999896,473,7.88333333333333
"17/10/2024 12:07:06","M61000",8,"bored",98,1948.59999999998,2841.59999999404,217098.79999989,476,7.93333333333333
"17/10/2024 12:07:10","M61000",8,"frustrated",27,3330.80000000005,4148.89999999409,221247.699999884,480,8
"17/10/2024 12:08:40","M61000",9,"happy",2,1882.30000000005,3098.29999999993,224345.999999884,570,9.5
"17/10/2024 12:08:43","M61000",9,"frustrated",31,1715.60000000009,3647.69999999995,227993.699999884,573,9.55
"17/10/2024 12:08:48","M61000",9,"bored",100,2681.60000000009,4506.19999999111,232499.899999875,578,9.63333333333333
"17/10/2024 12:09:47","M61000",10,"happy",2,3797.69999999995,4813.59999999998,237313.499999875,637,10.6166666666667
"17/10/2024 12:09:52","M61000",10,"frustrated",35,4247.40000000002,5178.09999999404,242491.599999869,642,10.7
"17/10/2024 12:09:55","M61000",10,"bored",100,1399.09999999998,2643.99999999697,245135.599999866,645,10.75
"17/10/2024 12:11:11","M61000",11,"frustrated",46,3581,4296.49999998813,249432.099999854,721,12.0166666666667
"17/10/2024 12:11:14","M61000",11,"bored",99,2131.70000000007,3123.29999999108,252555.399999845,724,12.0666666666667
