"Local.Date.and.Time","participant","trial","Emo","Response","onset_t","react_t","csum_t","t_s","t_m"
"11/03/2025 12:02:12","M83624",0,"bored",31,"3565","11245",11245,0,0
"11/03/2025 12:02:18","M83624",0,"frustrated",18,"3599","5816",17061,6,0.1
"11/03/2025 12:02:24","M83624",0,"happy",35,"2382","5915",22976,12,0.2
"11/03/2025 12:03:03","M83624",1,"happy",32,"4782","8408",31384,51,0.85
"11/03/2025 12:03:07","M83624",1,"frustrated",16,"1345","4111",35495,55,0.916666666666667
"11/03/2025 12:03:13","M83624",1,"bored",65,"4365","6365",41860,61,1.01666666666667
"11/03/2025 12:03:49","M83624",2,"frustrated",22,"3033","4998",46858,97,1.61666666666667
"11/03/2025 12:04:01","M83624",2,"bored",70,"7714","11747",58605,109,1.81666666666667
"11/03/2025 12:04:12","M83624",2,"happy",37,"4199","11064",69669,120,2
"11/03/2025 12:04:50","M83624",3,"bored",70,"2933","6682",76351,158,2.63333333333333
"11/03/2025 12:04:56","M83624",3,"happy",40,"1116","6798",83149,164,2.73333333333333
"11/03/2025 12:05:02","M83624",3,"frustrated",41,"2359","5325",88474,170,2.83333333333333
"11/03/2025 12:05:41","M83624",4,"frustrated",48,"4898","8148",96622,209,3.48333333333333
"11/03/2025 12:05:48","M83624",4,"happy",40,"2982","7498",104120,216,3.6
"11/03/2025 12:05:53","M83624",4,"bored",74,"1233","4649",108769,221,3.68333333333333
"11/03/2025 12:06:28","M83624",5,"happy",40,"3099","3966",112735,256,4.26666666666667
"11/03/2025 12:06:36","M83624",5,"frustrated",59,"3182","7698",120433,264,4.4
"11/03/2025 12:06:38","M83624",5,"bored",75,"1233","2200",122633,266,4.43333333333333
"11/03/2025 12:07:15","M83624",6,"frustrated",63,"4949","6249",128882,303,5.05
"11/03/2025 12:07:19","M83624",6,"bored",75,"2582","4399",133281,307,5.11666666666667
"11/03/2025 12:07:22","M83624",6,"happy",36,"1349","2498",135779,310,5.16666666666667
"11/03/2025 12:07:58","M83624",7,"frustrated",64,"2383","4999",140778,346,5.76666666666667
"11/03/2025 12:08:01","M83624",7,"happy",35,"2566","3181",143959,349,5.81666666666667
"11/03/2025 12:08:05","M83624",7,"bored",75,"750","3700",147659,353,5.88333333333333
"11/03/2025 12:08:39","M83624",8,"bored",78,"2217","3017",150676,387,6.45
"11/03/2025 12:08:44","M83624",8,"happy",38,"1549","5448",156124,392,6.53333333333333
"11/03/2025 12:08:49","M83624",8,"frustrated",67,"1633","5081",161205,397,6.61666666666667
"11/03/2025 12:09:26","M83624",9,"bored",78,"2966","5699",166904,434,7.23333333333333
"11/03/2025 12:09:29","M83624",9,"frustrated",70,"2066","3199",170103,437,7.28333333333333
"11/03/2025 12:09:32","M83624",9,"happy",35,"1849","2833",172936,440,7.33333333333333
"11/03/2025 12:10:12","M83624",10,"bored",81,"6931","9447",182383,480,8
"11/03/2025 12:10:18","M83624",10,"frustrated",74,"2466","6115",188498,486,8.1
"11/03/2025 12:10:20","M83624",10,"happy",34,"883","1665",190163,488,8.13333333333333
"11/03/2025 12:10:55","M83624",11,"bored",82,"2117","3915",194078,523,8.71666666666667
"11/03/2025 12:10:57","M83624",11,"happy",34,"1350","2350",196428,525,8.75
"11/03/2025 12:10:59","M83624",11,"frustrated",76,"1533","2231",198659,527,8.78333333333333
"11/03/2025 12:11:36","M83624",12,"bored",83,"3516","5316",203975,564,9.4
"11/03/2025 12:11:38","M83624",12,"frustrated",72,"1766","2683",206658,566,9.43333333333333
"11/03/2025 12:11:42","M83624",12,"happy",33,"2132","3899",210557,570,9.5
"11/03/2025 12:05:59","M19879",0,"frustrated",55,"69137","75422",75422,0,0
"11/03/2025 12:06:05","M19879",0,"happy",66,"3418","6603",82025,6,0.1
"11/03/2025 12:06:14","M19879",0,"bored",100,"6902","8286",90311,15,0.25
"11/03/2025 12:06:49","M19879",1,"bored",100,"2568","4636",94947,50,0.833333333333333
"11/03/2025 12:06:53","M19879",1,"happy",50,"1884","3418",98365,54,0.9
"11/03/2025 12:07:04","M19879",1,"frustrated",50,"2952","10889",109254,65,1.08333333333333
"11/03/2025 12:07:38","M19879",2,"happy",27,"1201","3653",112907,99,1.65
"11/03/2025 12:07:40","M19879",2,"frustrated",100,"867","1912.00000000003",114819,101,1.68333333333333
"11/03/2025 12:07:42","M19879",2,"bored",100,"544","1494",116313,103,1.71666666666667
"11/03/2025 12:08:16","M19879",3,"frustrated",60,"817","3769",120082,137,2.28333333333333
"11/03/2025 12:08:23","M19879",3,"bored",100,"5420","6371",126453,144,2.4
"11/03/2025 12:08:25","M19879",3,"happy",44,"1000","2517",128970,146,2.43333333333333
"11/03/2025 12:09:00","M19879",4,"happy",29,"2185","3986",132956,181,3.01666666666667
"11/03/2025 12:09:02","M19879",4,"bored",100,"1467","2235",135191,183,3.05
"11/03/2025 12:09:05","M19879",4,"frustrated",71,"817","3001",138192,186,3.1
"11/03/2025 12:09:39","M19879",5,"bored",100,"1533","2651",140843,220,3.66666666666667
"11/03/2025 12:09:46","M19879",5,"happy",41,"6469","7604",148447,227,3.78333333333333
"11/03/2025 12:09:50","M19879",5,"frustrated",55,"1167","3435",151882,231,3.85
"11/03/2025 12:10:30","M19879",6,"frustrated",55,"6785","9354",161236,271,4.51666666666667
"11/03/2025 12:10:36","M19879",6,"bored",100,"3835","5519",166755,277,4.61666666666667
"11/03/2025 12:10:38","M19879",6,"happy",45,"1167","2218",168973,279,4.65
"11/03/2025 12:11:15","M19879",7,"bored",100,"3769","5797",174770,316,5.26666666666667
"11/03/2025 12:11:20","M19879",7,"frustrated",71,"2045","5612",180382,321,5.35
"11/03/2025 12:11:22","M19879",7,"happy",51,"734","2117",182499,323,5.38333333333333
"11/03/2025 12:11:57","M19879",8,"frustrated",100,"3584","4235",186734,358,5.96666666666667
"11/03/2025 12:12:00","M19879",8,"bored",100,"1634","2435",189169,361,6.01666666666667
"11/03/2025 12:12:02","M19879",8,"happy",0,"1151","1985",191154,363,6.05
"11/03/2025 12:12:36","M19879",9,"happy",0,"2434","3434",194588,397,6.61666666666667
"11/03/2025 12:12:40","M19879",9,"bored",100,"2768","3569",198157,401,6.68333333333333
"11/03/2025 12:12:42","M19879",9,"frustrated",100,"834","1883",200040,403,6.71666666666667
"11/03/2025 12:13:17","M19879",10,"happy",0,"3319","4036",204076,438,7.3
"11/03/2025 12:13:19","M19879",10,"bored",100,"1201","1868",205944,440,7.33333333333333
"11/03/2025 12:13:21","M19879",10,"frustrated",100,"1251","2052",207996,442,7.36666666666667
"11/03/2025 12:13:59","M19879",11,"bored",100,"6436","7369",215365,480,8
"11/03/2025 12:14:01","M19879",11,"happy",0,"1184","2219",217584,482,8.03333333333333
"11/03/2025 12:14:03","M19879",11,"frustrated",100,"1384","2233",219817,484,8.06666666666667
"11/03/2025 12:14:40","M19879",12,"bored",100,"4853","5769",225586,521,8.68333333333333
"11/03/2025 12:14:42","M19879",12,"frustrated",100,"801","1567",227153,523,8.71666666666667
"11/03/2025 12:14:43","M19879",12,"happy",0,"1001","1869",229022,524,8.73333333333333
"11/03/2025 12:05:35","M84244",0,"happy",35,"3383.6","10146.2000000477",10146.2000000477,0,0
"11/03/2025 12:05:42","M84244",0,"bored",60,"4216.7","7338.3",17484.5000000477,7,0.116666666666667
"11/03/2025 12:05:50","M84244",0,"frustrated",25,"4250.10000000001","8072.69999997616",25557.2000000239,15,0.25
"11/03/2025 12:06:29","M84244",1,"frustrated",20,"2500.10000000001","7566.89999999999",33124.1000000238,54,0.9
"11/03/2025 12:06:33","M84244",1,"happy",30,"1816.8","4366.8",37490.9000000239,58,0.966666666666667
"11/03/2025 12:06:43","M84244",1,"bored",59,"2033.39999999999","9191",46681.9000000239,68,1.13333333333333
"11/03/2025 12:07:17","M84244",2,"bored",68,"1900","3524.19999997616",50206.1,102,1.7
"11/03/2025 12:07:21","M84244",2,"happy",36,"1515.79999999999","4138.20000004768",54344.3000000477,106,1.76666666666667
"11/03/2025 12:07:30","M84244",2,"frustrated",20,"2433.39999999999","8984.49999999997",63328.8000000477,115,1.91666666666667
"11/03/2025 12:08:07","M84244",3,"happy",35,"2333.39999999999","5812.20000002385",69141.0000000715,152,2.53333333333333
"11/03/2025 12:08:14","M84244",3,"bored",70,"2150.10000000001","7360",76501.0000000715,159,2.65
"11/03/2025 12:08:18","M84244",3,"frustrated",19,"2633.5","4072.39999999999",80573.4000000715,163,2.71666666666667
"11/03/2025 12:08:52","M84244",4,"frustrated",18,"1749.80000000002","3246.80000004769",83820.2000001192,197,3.28333333333333
"11/03/2025 12:08:57","M84244",4,"bored",70,"2866.79999999999","4848.70000004768",88668.9000001669,202,3.36666666666667
"11/03/2025 12:09:01","M84244",4,"happy",34,"1116.70000000001","3990.29999995232",92659.2000001192,206,3.43333333333333
"11/03/2025 12:09:37","M84244",5,"happy",35,"1500.09999999998","4691",97350.2000001192,242,4.03333333333333
"11/03/2025 12:09:40","M84244",5,"bored",77,"1433.40000000002","3207",100557.200000119,245,4.08333333333333
"11/03/2025 12:09:43","M84244",5,"frustrated",19,"1700.10000000003","2895.10000004771",103452.300000167,248,4.13333333333333
"11/03/2025 12:10:16","M84244",6,"frustrated",20,"1250.09999999998","2081.29999995232",105533.600000119,281,4.68333333333333
"11/03/2025 12:10:20","M84244",6,"happy",35,"1783.40000000002","4119.70000000001",109653.300000119,285,4.75
"11/03/2025 12:10:25","M84244",6,"bored",75,"1633.40000000002","4805.5",114458.800000119,290,4.83333333333333
"11/03/2025 12:11:01","M84244",7,"frustrated",20,"2200.09999999998","4992.79999999999",119451.600000119,326,5.43333333333333
"11/03/2025 12:11:09","M84244",7,"bored",78,"1416.70000000001","8576.50000004767",128028.100000167,334,5.56666666666667
"11/03/2025 12:11:15","M84244",7,"happy",35,"1134","5744.80000004766",133772.900000215,340,5.66666666666667
"11/03/2025 12:11:51","M84244",8,"frustrated",22,"3900","4907.19999997615",138680.100000191,376,6.26666666666667
"11/03/2025 12:11:56","M84244",8,"bored",82,"1967.40000000002","5327.79999997618",144007.900000167,381,6.35
"11/03/2025 12:12:03","M84244",8,"happy",32,"2783.5","6706.79999997618",150714.700000143,388,6.46666666666667
"11/03/2025 12:12:43","M84244",9,"happy",30,"2016.69999999995","8991.20000002382",159705.900000167,428,7.13333333333333
"11/03/2025 12:12:46","M84244",9,"bored",81,"1500","2812.39999997616",162518.300000143,431,7.18333333333333
"11/03/2025 12:12:48","M84244",9,"frustrated",26,"1216.70000000001","2119.79999997618",164638.100000119,433,7.21666666666667
"11/03/2025 12:13:27","M84244",10,"bored",78,"6900.20000000001","8039.20000000001",172677.300000119,472,7.86666666666667
"11/03/2025 12:13:33","M84244",10,"happy",35,"1483.19999999995","6315.89999995229",178993.200000072,478,7.96666666666667
"11/03/2025 12:13:41","M84244",10,"frustrated",23,"2983.30000000005","7583.40000000008",186576.600000072,486,8.1
"11/03/2025 12:14:15","M84244",11,"bored",78,"1866.80000000005","3021.29999995232",189597.900000024,520,8.66666666666667
"11/03/2025 12:14:17","M84244",11,"happy",28,"1166.30000000005","2033.5",191631.400000024,522,8.7
"11/03/2025 12:14:24","M84244",11,"frustrated",24,"1500","6833.40000000014",198464.800000024,529,8.81666666666667
"11/03/2025 12:15:01","M84244",12,"happy",30,"3733.40000000002","6738.5",205203.300000024,566,9.43333333333333
"11/03/2025 12:15:06","M84244",12,"frustrated",20,"3317.39999999991","5049.99999995227",210253.299999976,571,9.51666666666667
"11/03/2025 12:15:08","M84244",12,"bored",84,"1216.29999999993","2072.49999997613",212325.799999952,573,9.55
"11/03/2025 12:07:07","M93810",0,"happy",80,"2883","8349",8349,0,0
"11/03/2025 12:07:13","M93810",0,"frustrated",46,"3367","5868",14217,6,0.1
"11/03/2025 12:07:16","M93810",0,"bored",16,"2786","3567",17784,9,0.15
"11/03/2025 12:07:58","M93810",1,"frustrated",10,"3851","10699",28483,51,0.85
"11/03/2025 12:08:02","M93810",1,"happy",87,"1434","3528",32011,55,0.916666666666667
"11/03/2025 12:08:06","M93810",1,"bored",27,"1727","4444",36455,59,0.983333333333333
"11/03/2025 12:08:42","M93810",2,"frustrated",16,"1767","5233",41688,95,1.58333333333333
"11/03/2025 12:08:46","M93810",2,"happy",76,"3251","3751",45439,99,1.65
"11/03/2025 12:08:49","M93810",2,"bored",36,"1283","2701",48140,102,1.7
"11/03/2025 12:09:23","M93810",3,"frustrated",67,"2567","3399",51539,136,2.26666666666667
"11/03/2025 12:09:29","M93810",3,"happy",70,"1334","6068",57607,142,2.36666666666667
"11/03/2025 12:09:31","M93810",3,"bored",60,"1266","1734",59341,144,2.4
"11/03/2025 12:10:11","M93810",4,"happy",68,"6434","9484",68825,184,3.06666666666667
"11/03/2025 12:10:13","M93810",4,"frustrated",67,"1817","2316",71141,186,3.1
"11/03/2025 12:10:16","M93810",4,"bored",59,"1784","2284",73425,189,3.15
"11/03/2025 12:10:58","M93810",5,"bored",73,"9217","11350",84775,231,3.85
"11/03/2025 12:11:00","M93810",5,"happy",85,"1117","1816",86591,233,3.88333333333333
"11/03/2025 12:11:04","M93810",5,"frustrated",70,"1351","3734",90325,237,3.95
"11/03/2025 12:11:46","M93810",6,"frustrated",56,"8617","11351",101676,279,4.65
"11/03/2025 12:11:50","M93810",6,"bored",53,"3116","4067",105743,283,4.71666666666667
"11/03/2025 12:11:53","M93810",6,"happy",66,"1706","3401",109144,286,4.76666666666667
"11/03/2025 12:12:33","M93810",7,"happy",72,"7432","8433",117577,326,5.43333333333333
"11/03/2025 12:12:36","M93810",7,"frustrated",44,"1717","3415",120992,329,5.48333333333333
"11/03/2025 12:12:40","M93810",7,"bored",66,"3384","4201",125193,333,5.55
"11/03/2025 12:13:24","M93810",8,"frustrated",49,"6017","12418",137611,377,6.28333333333333
"11/03/2025 12:13:26","M93810",8,"happy",76,"2167","2867",140478,379,6.31666666666667
"11/03/2025 12:13:29","M93810",8,"bored",71,"1034","2116",142594,382,6.36666666666667
"11/03/2025 12:14:11","M93810",9,"bored",63,"10201","11185",153779,424,7.06666666666667
"11/03/2025 12:14:13","M93810",9,"happy",86,"1050","1934",155713,426,7.1
"11/03/2025 12:14:16","M93810",9,"frustrated",54,"2400","3596.00000000006",159309,429,7.15
"11/03/2025 12:14:52","M93810",10,"frustrated",50,"1466","4434",163743,465,7.75
"11/03/2025 12:14:53","M93810",10,"bored",65,"1183","1715",165458,466,7.76666666666667
"11/03/2025 12:14:56","M93810",10,"happy",90,"1651","2268",167726,469,7.81666666666667
"11/03/2025 12:15:31","M93810",11,"bored",44,"4350","4884",172610,504,8.4
"11/03/2025 12:15:33","M93810",11,"frustrated",55,"1066","1584",174194,506,8.43333333333333
"11/03/2025 12:15:35","M93810",11,"happy",93,"967","2169",176363,508,8.46666666666667
"11/03/2025 12:16:08","M93810",12,"happy",94,"1798","2414",178777,541,9.01666666666667
"11/03/2025 12:16:12","M93810",12,"frustrated",24,"967","3268",182045,545,9.08333333333333
"11/03/2025 12:16:14","M93810",12,"bored",38,"1766","2400",184445,547,9.11666666666667
"11/03/2025 12:12:17","M23373",0,"frustrated",49,"5700","7550",7550,0,0
"11/03/2025 12:12:22","M23373",0,"bored",75,"3867","4517",12067,5,0.0833333333333333
"11/03/2025 12:12:26","M23373",0,"happy",49,"3216","3933",16000,9,0.15
"11/03/2025 12:13:03","M23373",1,"bored",88,"5083","5950",21950,46,0.766666666666667
"11/03/2025 12:13:06","M23373",1,"happy",36,"1433","3217",25167,49,0.816666666666667
"11/03/2025 12:13:09","M23373",1,"frustrated",68,"2350","3032",28199,52,0.866666666666667
"11/03/2025 12:13:48","M23373",2,"frustrated",94,"3883","8100",36299,91,1.51666666666667
"11/03/2025 12:13:51","M23373",2,"happy",22,"2300","2867",39166,94,1.56666666666667
"11/03/2025 12:13:53","M23373",2,"bored",100,"1766","2567",41733,96,1.6
"11/03/2025 12:14:27","M23373",3,"happy",9,"2084","2851",44584,130,2.16666666666667
"11/03/2025 12:14:29","M23373",3,"frustrated",100,"1533","2315",46899,132,2.2
"11/03/2025 12:14:35","M23373",3,"bored",96,"3334","5367",52266,138,2.3
"11/03/2025 12:15:08","M23373",4,"frustrated",100,"1183","2049",54315,171,2.85
"11/03/2025 12:15:10","M23373",4,"happy",2,"1617","2699",57014,173,2.88333333333333
"11/03/2025 12:15:13","M23373",4,"bored",84,"1950","2999",60013,176,2.93333333333333
"11/03/2025 12:15:47","M23373",5,"frustrated",100,"1734","2867",62880,210,3.5
"11/03/2025 12:15:52","M23373",5,"happy",8,"3317","4634",67514,215,3.58333333333333
"11/03/2025 12:15:58","M23373",5,"bored",92,"5633","6500",74014,221,3.68333333333333
"11/03/2025 12:16:32","M23373",6,"bored",81,"2417","3034",77048,255,4.25
"11/03/2025 12:16:36","M23373",6,"frustrated",100,"2283","3582",80630,259,4.31666666666667
"11/03/2025 12:16:39","M23373",6,"happy",10,"1967","2734",83364,262,4.36666666666667
"11/03/2025 12:17:12","M23373",7,"bored",88,"1133","2382",85746,295,4.91666666666667
"11/03/2025 12:17:16","M23373",7,"happy",7,"1300","3616",89362,299,4.98333333333333
"11/03/2025 12:17:18","M23373",7,"frustrated",100,"1400","2384",91746,301,5.01666666666667
"11/03/2025 12:17:51","M23373",8,"frustrated",100,"867","2034",93780,334,5.56666666666667
"11/03/2025 12:17:53","M23373",8,"happy",7,"1083","1934",95714,336,5.6
"11/03/2025 12:17:54","M23373",8,"bored",82,"683","1565",97279,337,5.61666666666667
"11/03/2025 12:18:29","M23373",9,"happy",20,"1417","3234",100513,372,6.2
"11/03/2025 12:18:33","M23373",9,"bored",95,"3166","4617",105130,376,6.26666666666667
"11/03/2025 12:18:36","M23373",9,"frustrated",100,"866","2465",107595,379,6.31666666666667
"11/03/2025 12:19:08","M23373",10,"happy",0,"1267","1884",109479,411,6.85
"11/03/2025 12:19:11","M23373",10,"bored",93,"1716","2232",111711,414,6.9
"11/03/2025 12:19:12","M23373",10,"frustrated",100,"550","1534",113245,415,6.91666666666667
"11/03/2025 12:19:46","M23373",11,"happy",0,"2049","3082",116327,449,7.48333333333333
"11/03/2025 12:19:49","M23373",11,"bored",100,"2283","2899",119226,452,7.53333333333333
"11/03/2025 12:19:51","M23373",11,"frustrated",100,"550","1451",120677,454,7.56666666666667
"11/03/2025 12:20:40","M23373",12,"bored",100,"17633","18750",139427,503,8.38333333333333
"11/03/2025 12:20:45","M23373",12,"happy",0,"3250","4767",144194,508,8.46666666666667
"11/03/2025 12:20:48","M23373",12,"frustrated",100,"833","2633",146827,511,8.51666666666667
"11/03/2025 12:13:05","M99469",0,"happy",30,"3699.9","5808.89999999404",5808.89999999404,0,0
"11/03/2025 12:13:12","M99469",0,"frustrated",50,"4649.6","6897.19999999702",12706.0999999911,7,0.116666666666667
"11/03/2025 12:13:24","M99469",0,"bored",95,"4883","11809.0999999881",24515.1999999792,19,0.316666666666667
"11/03/2025 12:14:03","M99469",1,"frustrated",37,"5149.59999999999","7554.09999999106",32069.2999999702,58,0.966666666666667
"11/03/2025 12:14:07","M99469",1,"bored",93,"1766.5","3999.90000000002",36069.1999999702,62,1.03333333333333
"11/03/2025 12:14:18","M99469",1,"happy",19,"7866.2","11016",47085.1999999702,73,1.21666666666667
"11/03/2025 12:14:52","M99469",2,"frustrated",82,"1766.5","3577.29999999405",50662.4999999643,107,1.78333333333333
"11/03/2025 12:15:01","M99469",2,"bored",87,"2633.20000000001","8599.69999999998",59262.1999999643,116,1.93333333333333
"11/03/2025 12:15:05","M99469",2,"happy",18,"2399.80000000002","4723.49999999703",63985.6999999613,120,2
"11/03/2025 12:15:53","M99469",3,"happy",16,"13348.7","16873.199999994",80858.8999999553,168,2.8
"11/03/2025 12:16:22","M99469",3,"frustrated",91,"27047.7","29115.199999994",109974.099999949,197,3.28333333333333
"11/03/2025 12:16:28","M99469",3,"bored",89,"3933.10000000001","5702.59999999404",115676.699999943,203,3.38333333333333
"11/03/2025 12:17:02","M99469",4,"happy",22,"2399.79999999999","3436.39999999106",119113.099999934,237,3.95
"11/03/2025 12:17:07","M99469",4,"bored",14,"2999.90000000002","4506.19999999704",123619.299999931,242,4.03333333333333
"11/03/2025 12:17:11","M99469",4,"frustrated",79,"2899.79999999999","3977.899999997",127597.199999928,246,4.1
"11/03/2025 12:17:49","M99469",5,"bored",90,"5999.5","7429.29999999108",135026.49999992,284,4.73333333333333
"11/03/2025 12:17:53","M99469",5,"happy",21,"2616.59999999998","4007.19999998808",139033.699999908,288,4.8
"11/03/2025 12:17:57","M99469",5,"frustrated",88,"2166.60000000003","3449.79999999405",142483.499999902,292,4.86666666666667
"11/03/2025 12:18:31","M99469",6,"frustrated",85,"2166.5","3233.10000000003",145716.599999902,326,5.43333333333333
"11/03/2025 12:18:36","M99469",6,"bored",87,"3583.20000000001","4966.39999999997",150682.999999902,331,5.51666666666667
"11/03/2025 12:18:40","M99469",6,"happy",22,"2949.79999999999","4133.20000000001",154816.199999902,335,5.58333333333333
"11/03/2025 12:19:17","M99469",7,"frustrated",86,"4982.89999999997","6052.79999999999",160868.999999902,372,6.2
"11/03/2025 12:19:22","M99469",7,"happy",21,"3766.39999999997","4933.10000000003",165802.099999902,377,6.28333333333333
"11/03/2025 12:19:36","M99469",7,"bored",81,"8966.19999999995","14432.7",180234.799999902,391,6.51666666666667
"11/03/2025 12:20:18","M99469",8,"bored",82,"6266.30000000005","10444.0999999881",190678.89999989,433,7.21666666666667
"11/03/2025 12:20:25","M99469",8,"frustrated",78,"5599.70000000001","6754.79999999702",197433.699999887,440,7.33333333333333
"11/03/2025 12:20:28","M99469",8,"happy",22,"1516.59999999998","3254.09999999701",200687.799999884,443,7.38333333333333
"11/03/2025 12:21:06","M99469",9,"bored",82,"6582.79999999999","7133.10000000003",207820.899999884,481,8.01666666666667
"11/03/2025 12:21:10","M99469",9,"frustrated",87,"3383","4082.99999999994",211903.899999884,485,8.08333333333333
"11/03/2025 12:21:11","M99469",9,"happy",18,"833.300000000047","1264.79999999108",213168.699999875,486,8.1
"11/03/2025 12:21:55","M99469",10,"happy",12,"3249.89999999991","12656.099999991",225824.799999866,530,8.83333333333333
"11/03/2025 12:21:58","M99469",10,"bored",76,"2366.5","3425.19999999111",229249.999999857,533,8.88333333333333
"11/03/2025 12:22:04","M99469",10,"frustrated",100,"2449.80000000005","6099.30000000005",235349.299999857,539,8.98333333333333
"11/03/2025 12:22:40","M99469",11,"bored",89,"3666.30000000005","4895.40000000002",240244.699999857,575,9.58333333333333
"11/03/2025 12:22:45","M99469",11,"happy",15,"2399.90000000002","4549.90000000014",244794.599999857,580,9.66666666666667
"11/03/2025 12:22:48","M99469",11,"frustrated",99,"2049.79999999993","3193.09999999101",247987.699999848,583,9.71666666666667
"11/03/2025 12:23:24","M99469",12,"bored",90,"3683.10000000009","4870.30000000005",252857.999999848,619,10.3166666666667
"11/03/2025 12:23:27","M99469",12,"frustrated",100,"2399.90000000002","3724.40000000002",256582.399999848,622,10.3666666666667
"11/03/2025 12:23:37","M99469",12,"happy",1,"8682.90000000002","9966.29999999993",266548.699999848,632,10.5333333333333
"11/03/2025 12:16:28","M75922",0,"happy",50,"2735.5","4534.60000002384",4534.60000002384,0,0
"11/03/2025 12:16:31","M75922",0,"frustrated",51,"2201.5","3761.50000002384",8296.10000004768,3,0.05
"11/03/2025 12:16:36","M75922",0,"bored",60,"2568.2","4775.90000004768",13072.0000000954,8,0.133333333333333
"11/03/2025 12:17:11","M75922",1,"happy",49,"3435.99999999999","4270.30000000001",17342.3000000954,43,0.716666666666667
"11/03/2025 12:17:14","M75922",1,"frustrated",51,"2067.59999999999","2777.80000009536",20120.1000001907,46,0.766666666666667
"11/03/2025 12:17:17","M75922",1,"bored",64,"2101.3","3053.00000007152",23173.1000002622,49,0.816666666666667
"11/03/2025 12:17:52","M75922",2,"frustrated",57,"2668.8","4515",27688.1000002622,84,1.4
"11/03/2025 12:17:56","M75922",2,"happy",40,"2168.40000000001","4081.70000002385",31769.8000002861,88,1.46666666666667
"11/03/2025 12:18:01","M75922",2,"bored",71,"2035","4899.80000007153",36669.6000003576,93,1.55
"11/03/2025 12:18:40","M75922",3,"happy",47,"3535.39999999999","7666.10000002384",44335.7000003815,132,2.2
"11/03/2025 12:18:47","M75922",3,"bored",67,"6171","7004.60000000001",51340.3000003815,139,2.31666666666667
"11/03/2025 12:18:56","M75922",3,"frustrated",58,"2502","8625.29999999999",59965.6000003815,148,2.46666666666667
"11/03/2025 12:19:30","M75922",4,"frustrated",73,"2468.19999999998","3192.90000002383",63158.5000004053,182,3.03333333333333
"11/03/2025 12:19:32","M75922",4,"bored",78,"2068.39999999999","2724.89999999999",65883.4000004053,184,3.06666666666667
"11/03/2025 12:19:35","M75922",4,"happy",34,"2001.30000000002","2772.70000000001",68656.1000004053,187,3.11666666666667
"11/03/2025 12:20:11","M75922",5,"happy",22,"4736.39999999999","5482.5",74138.6000004053,223,3.71666666666667
"11/03/2025 12:20:17","M75922",5,"frustrated",74,"3635.89999999999","5897.79999999999",80036.4000004053,229,3.81666666666667
"11/03/2025 12:20:20","M75922",5,"bored",79,"1667.89999999999","2672.70000007152",82709.1000004768,232,3.86666666666667
"11/03/2025 12:20:54","M75922",6,"happy",32,"2568.09999999998","3185.80000007153",85894.9000005483,266,4.43333333333333
"11/03/2025 12:20:57","M75922",6,"bored",69,"1934.70000000001","2567.60000007151",88462.5000006199,269,4.48333333333333
"11/03/2025 12:20:59","M75922",6,"frustrated",79,"1601.60000000003","2277.30000009539",90739.8000007152,271,4.51666666666667
"11/03/2025 12:21:34","M75922",7,"bored",78,"2784.79999999999","3850.00000007154",94589.8000007868,306,5.1
"11/03/2025 12:21:38","M75922",7,"happy",20,"3035.39999999997","4213.70000002382",98803.5000008106,310,5.16666666666667
"11/03/2025 12:21:42","M75922",7,"frustrated",79,"3802.79999999999","4620.5",103424.000000811,314,5.23333333333333
"11/03/2025 12:22:18","M75922",8,"frustrated",84,"3852.40000000002","4675.20000004768",108099.200000858,350,5.83333333333333
"11/03/2025 12:22:23","M75922",8,"happy",49,"4402.5","5098.60000002384",113197.800000882,355,5.91666666666667
"11/03/2025 12:22:27","M75922",8,"bored",84,"2368.09999999998","4060.5",117258.300000882,359,5.98333333333333
"11/03/2025 12:23:01","M75922",9,"happy",51,"2300.90000000002","2924.40000009537",120182.700000977,393,6.55
"11/03/2025 12:23:05","M75922",9,"bored",87,"3602.79999999999","4334.40000002383",124517.100001001,397,6.61666666666667
